Ativo,Variação_1h_%,Variação_24h_%,Classificação
FIRO/USDT,-0.19,-2.33,
SCRT/USDT,-2.7,-2.36,
PROM/USDT,-0.86,-2.46,
ETHFI/USDT,-1.04,-2.48,
KAIA/USDT,-0.56,-2.48,
NOT/USDT,-0.34,-2.55,
ZEN/USDT,-1.72,-2.56,
AR/USDT,-0.73,-2.59,
OG/USDT,0.11,-2.59,
ALCX/USDT,-0.68,-2.59,
POL/USDT,-0.94,-2.65,
HBAR/USDT,-1.03,-2.89,
DOGE/USDT,-0.53,-2.9,
XRP/USDT,-0.79,-2.93,
NEIRO/USDT,-1.48,-3.0,
SLF/USDT,-0.24,-3.01,
BEL/USDT,-1.42,-3.11,
TRUMP/USDT,-1.7,-3.17,
ORDI/USDT,-1.07,-3.35,
KNC/USDT,-0.28,-3.37,
QUICK/USDT,-1.51,-3.37,
THE/USDT,-1.57,-3.38,
LTC/USDT,-0.43,-3.44,
QNT/USDT,-0.92,-3.45,
BIO/USDT,-2.6,-3.47,
DOGS/USDT,-1.43,-3.5,
SOL/USDT,-0.98,-3.69,
BNSOL/USDT,-0.92,-3.73,
ZK/USDT,-1.28,-3.74,
SYS/USDT,-0.84,-3.85,
STPT/USDT,-1.22,-3.89,
DOT/USDT,-1.0,-3.9,
DF/USDT,0.09,-4.11,
STX/USDT,-1.14,-4.11,
AI/USDT,-1.62,-4.33,
TNSR/USDT,-2.19,-4.37,
IO/USDT,-0.86,-4.97,
BANANA/USDT,-0.41,-4.97,
PNUT/USDT,-1.65,-5.05,
SOLV/USDT,-1.2,-5.18,
JUV/USDT,-0.09,-5.36,
MDT/USDT,-1.95,-5.38,
SHELL/USDT,-0.43,-5.39,
REZ/USDT,-0.16,-5.45,
COOKIE/USDT,-1.96,-5.46,
ALPACA/USDT,-1.65,-5.48,
SHIB/USDT,-0.47,-5.8,
VIC/USDT,-0.82,-5.81,
COMBO/USDT,-2.7,-5.95,
S/USDT,-1.57,-6.08,
SANTOS/USDT,-0.94,-6.42,
LINA/USDT,-1.84,-6.72,
VELODROME/USDT,-1.25,-6.77,
HEI/USDT,-1.39,-7.09,
BERA/USDT,-1.18,-7.2,
GPS/USDT,-2.45,-7.97,
RED/USDT,-0.95,-8.61,
AIXBT/USDT,-3.06,-9.12,
HMSTR/USDT,-1.75,-9.15,
EPIC/USDT,-2.39,-9.31,
VANA/USDT,-1.89,-9.52,
AUCTION/USDT,-0.28,-9.91,
LAYER/USDT,-0.91,-11.67,
PROS/USDT,-0.2,-11.88,
